Point,Corner,Lx,vb,vd,vg,Pass/Fail,capbd,capbs,cdd,cgb,cgd,cgdo,cgg,cgs,cgso,css,gds,gm,gmbs,id,vth,vb,vd,vg,nid,sfl,l
65,nom,350e-9,0,200e-3,800e-3,,-7.439e-15,-9.7e-15,8.441e-15,-1.07e-15,-936.9e-18,955.2e-18,6.369e-15,-4.362e-15,956.3e-18,13.97e-15,1.939e-6,42.58e-6,9.545e-6,-2.789e-6,-725.7e-3,-0,-200e-3,-800e-3,596.6e-27,2.687e-21,350e-9
66,nom,350e-9,0,200e-3,900e-3,,-7.549e-15,-9.873e-15,8.933e-15,-914.5e-18,-1.223e-15,955.9e-18,6.977e-15,-4.84e-15,956.6e-18,14.5e-15,11.47e-6,83.86e-6,18.8e-6,-9.253e-6,-725.7e-3,-0,-200e-3,-900e-3,1.257e-24,19.58e-21,350e-9
67,nom,350e-9,0,200e-3,1,,-7.772e-15,-9.87e-15,10.26e-15,-762.5e-18,-2.014e-15,956.3e-18,7.634e-15,-4.858e-15,956.7e-18,14.54e-15,45.79e-6,96.37e-6,21.93e-6,-18.46e-6,-725.8e-3,-0,-200e-3,-1,2.067e-24,58.05e-21,350e-9
68,nom,350e-9,0,200e-3,1.1,,-7.924e-15,-9.846e-15,11.44e-15,-662.9e-18,-2.715e-15,956.6e-18,8.088e-15,-4.71e-15,956.9e-18,14.63e-15,91.18e-6,95.35e-6,22.16e-6,-28.06e-6,-725.8e-3,-0,-200e-3,-1.1,2.81e-24,114.6e-21,350e-9
69,nom,350e-9,0,200e-3,1.2,,-7.993e-15,-9.824e-15,12.12e-15,-617.3e-18,-3.119e-15,956.7e-18,8.298e-15,-4.562e-15,957e-18,14.72e-15,137.4e-6,91.99e-6,21.85e-6,-37.39e-6,-725.8e-3,-0,-200e-3,-1.2,3.515e-24,186.2e-21,350e-9
70,nom,350e-9,0,200e-3,1.3,,-8.024e-15,-9.808e-15,12.51e-15,-594.9e-18,-3.356e-15,956.9e-18,8.4e-15,-4.449e-15,957e-18,14.78e-15,182.7e-6,88.17e-6,21.41e-6,-46.35e-6,-725.9e-3,-0,-200e-3,-1.3,4.188e-24,270.6e-21,350e-9
71,nom,350e-9,0,200e-3,1.4,,-8.041e-15,-9.796e-15,12.77e-15,-582.6e-18,-3.507e-15,957e-18,8.455e-15,-4.365e-15,957.1e-18,14.83e-15,226.3e-6,84.24e-6,20.91e-6,-54.91e-6,-725.9e-3,-0,-200e-3,-1.4,4.83e-24,366e-21,350e-9
72,nom,350e-9,0,200e-3,1.5,,-8.05e-15,-9.788e-15,12.94e-15,-575e-18,-3.611e-15,957e-18,8.487e-15,-4.301e-15,957.1e-18,14.86e-15,268.3e-6,80.32e-6,20.39e-6,-63.08e-6,-725.9e-3,-0,-200e-3,-1.5,5.442e-24,470.6e-21,350e-9
73,nom,350e-9,0,200e-3,1.6,,-8.056e-15,-9.781e-15,13.07e-15,-570.1e-18,-3.686e-15,957.1e-18,8.507e-15,-4.251e-15,957.2e-18,14.89e-15,308.5e-6,76.46e-6,19.86e-6,-70.85e-6,-726e-3,-0,-200e-3,-1.6,6.023e-24,582.8e-21,350e-9
74,nom,350e-9,0,200e-3,1.7,,-8.06e-15,-9.775e-15,13.17e-15,-566.6e-18,-3.743e-15,957.1e-18,8.521e-15,-4.211e-15,957.2e-18,14.91e-15,346.9e-6,72.69e-6,19.33e-6,-78.23e-6,-726e-3,-0,-200e-3,-1.7,6.575e-24,701.1e-21,350e-9
75,nom,350e-9,0,200e-3,1.8,,-8.063e-15,-9.77e-15,13.24e-15,-564e-18,-3.788e-15,957.2e-18,8.53e-15,-4.179e-15,957.2e-18,14.93e-15,383.5e-6,69.03e-6,18.8e-6,-85.24e-6,-726e-3,-0,-200e-3,-1.8,7.099e-24,824.3e-21,350e-9
