Point,Corner,Lx,vb,vd,vg,Pass/Fail,capbd,capbs,cdd,cgb,cgd,cgdo,cgg,cgs,cgso,css,gds,gm,gmbs,id,vth,vb,vd,vg,nid,sfl,l
37,nom,350e-9,0,100e-3,800e-3,,-5.603e-15,-5.993e-15,9.743e-15,-155.9e-18,-2.846e-15,1.21e-15,8.448e-15,-5.447e-15,1.211e-15,12.06e-15,212.9e-6,181.2e-6,47.79e-6,32.97e-6,564.6e-3,0,100e-3,800e-3,5.98e-24,1.617e-18,350e-9
38,nom,350e-9,0,100e-3,900e-3,,-5.703e-15,-5.87e-15,10.9e-15,-100.2e-18,-3.387e-15,1.211e-15,8.662e-15,-5.175e-15,1.211e-15,12.27e-15,383.6e-6,179.1e-6,48e-6,50.95e-6,564.6e-3,0,100e-3,900e-3,8.659e-24,2.522e-18,350e-9
39,nom,350e-9,0,100e-3,1,,-5.74e-15,-5.792e-15,11.5e-15,-77.43e-18,-3.669e-15,1.211e-15,8.747e-15,-5e-15,1.211e-15,12.39e-15,555.5e-6,172.4e-6,47.05e-6,68.4e-6,564.7e-3,0,100e-3,1,11.26e-24,3.308e-18,350e-9
40,nom,350e-9,0,100e-3,1.1,,-5.757e-15,-5.742e-15,11.85e-15,-66.11e-18,-3.833e-15,1.211e-15,8.786e-15,-4.887e-15,1.211e-15,12.47e-15,722.9e-6,164.8e-6,45.86e-6,85.09e-6,564.7e-3,0,100e-3,1.1,13.76e-24,3.963e-18,350e-9
41,nom,350e-9,0,100e-3,1.2,,-5.765e-15,-5.707e-15,12.08e-15,-59.53e-18,-3.939e-15,1.211e-15,8.807e-15,-4.809e-15,1.211e-15,12.53e-15,884.2e-6,157e-6,44.62e-6,101e-6,564.7e-3,0,100e-3,1.2,16.15e-24,4.494e-18,350e-9
42,nom,350e-9,0,100e-3,1.3,,-5.77e-15,-5.682e-15,12.23e-15,-55.26e-18,-4.012e-15,1.211e-15,8.819e-15,-4.752e-15,1.211e-15,12.57e-15,1.039e-3,149.2e-6,43.36e-6,116.1e-6,564.8e-3,0,100e-3,1.3,18.42e-24,4.909e-18,350e-9
43,nom,350e-9,0,100e-3,1.4,,-5.772e-15,-5.663e-15,12.35e-15,-52.25e-18,-4.065e-15,1.211e-15,8.826e-15,-4.708e-15,1.212e-15,12.6e-15,1.187e-3,141.6e-6,42.12e-6,130.4e-6,564.8e-3,0,100e-3,1.4,20.57e-24,5.219e-18,350e-9
44,nom,350e-9,0,100e-3,1.5,,-5.774e-15,-5.649e-15,12.43e-15,-50.02e-18,-4.106e-15,1.212e-15,8.831e-15,-4.675e-15,1.212e-15,12.63e-15,1.328e-3,134.3e-6,40.9e-6,143.9e-6,564.8e-3,0,100e-3,1.5,22.61e-24,5.433e-18,350e-9
45,nom,350e-9,0,100e-3,1.6,,-5.775e-15,-5.637e-15,12.5e-15,-48.28e-18,-4.138e-15,1.212e-15,8.834e-15,-4.648e-15,1.212e-15,12.65e-15,1.462e-3,127.2e-6,39.72e-6,156.7e-6,564.8e-3,0,100e-3,1.6,24.53e-24,5.563e-18,350e-9
46,nom,350e-9,0,100e-3,1.7,,-5.776e-15,-5.627e-15,12.56e-15,-46.89e-18,-4.164e-15,1.212e-15,8.836e-15,-4.625e-15,1.212e-15,12.66e-15,1.589e-3,120.3e-6,38.58e-6,168.8e-6,564.9e-3,0,100e-3,1.7,26.35e-24,5.618e-18,350e-9
